0¦SELF¦1581427559856¦1581427560473¦1581427559776¦1581427559856¦1581427560473¦1581427560473¦hello¦Vlad30,Iines;¦ ⁰h ¹³⁸e ¹³¹l ¹⁷⁰l ¹⁷⁸o¦hello¦
0¦SELF¦1581428383854¦1581428394670¦1581428394368¦1581428383854¦1581428394670¦1581428394670¦, but the conditions is not the best for theaching. ¦Vlad30,Iines;¦ ⁰, ²⁰⁰  ¹⁷²b ²⁰¹u ¹²⁰t ¹³¹  ¹⁰⁶t ¹⁰⁰h ¹¹⁵e ¹¹⁶  ²³⁵c ¹¹²o ²⁰⁰n ¹⁸⁴d ¹⁵⁷i ²¹⁵t ¹¹⁶i ¹³¹o ²⁰⁰n ¹⁸⁶s ⁶⁸⁴  ²⁶⁸i ¹³¹s ¹⁶⁸  ¹⁰³¹n ²⁰⁰o ¹⁶⁹t ¹¹⁵  ¹³²t ¹⁵³h ¹⁰⁰e ¹⁶²  ¹⁵³b ¹¹⁵e ¹⁸⁵s ²²¹t ²²²  ⁴⁹⁷f ²⁰⁰o ¹⁶⁹r ¹⁴⁶  ⁸⁵t ¹⁵³h ⁷⁸e ²³⁸a ²⁶⁸c ²⁷⁸h ¹⁶⁸i ¹⁵³n ¹¹⁶g ⁸⁸³. ¹⁷⁸ ¦, but the conditions is ▅not the best for theaching. ¦
0¦OTHER¦1581428395124¦1581428395324¦1581428395018¦1581428395124¦1581428395324¦1581428395324¦that¦Vlad30,Iines;¦ ⁰t ⁶²h ⁷a ¹³¹t¦that¦
0¦SELF¦1581428395424¦1581428395424¦1581428395121¦1581428395424¦1581428395424¦1581428395424¦A¦Vlad30,Iines;¦ ⁰A¦A¦
0¦OTHER¦1581428395508¦1581428395712¦1581428395401¦1581428395508¦1581428395712¦1581428395712¦s t¦Vlad30,Iines;¦ ⁰s ¹⁰⁴  ¹⁰⁰t¦s t¦
0¦SELF¦1581428395727¦1581428395727¦1581428395423¦1581428395727¦1581428395727¦1581428395727¦ ¦Vlad30,Iines;¦ ⁰ ¦ ¦
0¦OTHER¦1581428395875¦1581428395946¦1581428395636¦1581428395875¦1581428395946¦1581428395946¦ru¦Vlad30,Iines;¦ ⁰r ⁷¹u¦ru¦
0¦SELF¦1581428396030¦1581428396030¦1581428395730¦1581428396030¦1581428396030¦1581428396030¦h¦Vlad30,Iines;¦ ⁰h¦h¦
0¦OTHER¦1581428396046¦1581428396046¦1581428395772¦1581428396046¦1581428396046¦1581428396046¦e¦Vlad30,Iines;¦ ⁰e¦e¦
0¦SELF¦1581428396246¦1581428421632¦1581428421388¦1581428396246¦1581428421632¦1581428421632¦ysterical pregnant wife, upcoming mountains... fear. Better to trow the doctor out odf the ballon*oon¦Vlad30,Iines;¦ ⁰y ¹³⁵s ¹³⁸t ¹⁸¹e ¹⁷²r ¹⁷²i ²³¹c ²¹⁵a ¹²²l ²³¹  ⁵¹⁶p ¹⁵³r ¹⁴⁷e ²³¹g ²⁶⁹n ¹¹⁶a ²⁵³n ²¹⁶t ⁴⁹⁹  ²⁴⁶w ¹⁵³i ²⁶²f ²⁶⁹e ¹⁶⁰⁴, ²⁹⁹  ¹⁰⁷⁴u ²⁰⁰p ³⁴⁷c ¹⁸⁴o ¹⁷⁷m ²⁰⁰i ¹⁶⁹n ¹³¹g ¹³¹  ¹⁶⁹m ¹⁷¹o ²⁰¹u ¹⁹⁹n ¹⁵⁶t ³⁰³a ¹¹⁵i ¹⁷⁰n ¹⁰⁰s ³⁴⁶. ¹³⁸. ¹³¹. ²⁶⁹  ²⁰⁰f ²⁰⁰e ²³¹a ²³¹r ²²¹. ²⁶³  ⁵⁰¹B ²⁸⁴e ¹¹⁵t ¹¹⁶t ¹⁰⁰e ¹²¹r ²³¹  ²³¹t ²³⁷o ²³⁵  ⁶⁰¹t ²⁰⁰r ⁶⁵¹o ²⁸⁴w ¹¹⁶  ¹³⁸t ¹⁴⁷h ¹⁰⁰e ²⁰⁴  ¹⁸⁹d ¹⁶⁸o ¹³⁵c ²³³t ¹⁰⁰o ⁹⁹r ²⁸⁹  ²³⁸o ¹⁹⁹u ¹³¹t ¹³¹  ²⁰⁰o ¹⁰⁰d ⁰f ¹³⁷  ⁹⁸¹t ¹¹⁵h ¹⁰⁰e ¹³⁸  ²⁸⁵b ⁸⁴a ¹⁷⁸l ¹⁰⁰l ¹⁵³o ²⁶⁸n ²²⁰⁰* ²⁴⁶o ⁸⁵o ²³⁵n¦ysterical pregnant wife▅, ▅upcoming mountains... fear. Better to trow the doctor out odf the ballon▅▅*oon¦
0¦OTHER¦1581428421747¦1581428421747¦1581428421497¦1581428421747¦1581428421747¦1581428421747¦y¦Vlad30,Iines;¦ ⁰y¦y¦
0¦SELF¦1581428421919¦1581428421919¦1581428421678¦1581428421919¦1581428421919¦1581428421919¦'¦Vlad30,Iines;¦ ⁰'¦'¦
0¦OTHER¦1581428422170¦1581428425244¦1581428425001¦1581428422170¦1581428425244¦1581428425244¦eah ¦Vlad30,Iines;¦ ⁰e ⁶⁸a ¹⁵²h ²⁸⁵⁴ ¦eah▅▅ ¦
0¦SELF¦1581428442457¦1581428460380¦1581428460217¦1581428442457¦1581428460380¦1581428460380¦We didn't talk about the fact that the sloans ate friends with him though. ¦Vlad30,Iines;¦ ⁰W ¹⁴⁷e ⁸⁰²  ¹⁴¹d ⁸⁵²i ²⁴⁶d ¹³⁸n ³⁶⁹' ⁹³¹t ³⁶⁸  ²⁶²t ¹³⁷a ⁵¹⁷l ¹⁶²k ²⁰⁰  ¹⁰⁰a ¹³⁸b ²¹⁵o ¹⁶⁸u ¹⁰⁰t ¹¹⁶  ¹¹⁶t ⁸⁴h ¹¹⁶e ¹¹⁶  ²³¹f ⁹⁹a ¹³⁷c ¹⁶³t ¹⁴¹  ⁸⁹t ¹⁰⁰h ¹⁴⁶a ¹²⁰t ⁷²⁰  ¹⁸⁴t ¹³¹h ¹⁰⁶e ¹³¹  ²⁰⁰s ³¹⁶l ¹⁸³o ²⁷⁰a ¹¹⁶n ²⁸³s ²²¹  ¹⁸⁴a ¹²⁰t ¹³²e ⁸⁰⁵  ⁴¹⁶f ¹⁵³r ¹⁶²i ²⁸⁵e ¹³¹n ¹⁶⁹d ¹⁸⁵s ²¹⁵  ²³⁷w ²¹⁵i ¹⁴⁷t ¹¹⁶h ²²²  ²⁰⁰h ¹⁹³i ²²²m ⁹⁷⁸  ¹⁵³t ¹¹⁵h ²⁰⁰o ²¹⁵u ²³⁷g ¹⁸⁵h ⁴⁸². ²²¹ ¦We didn't talk about the fact that the sloans ate friends with him though. ¦
0¦OTHER¦1581428466534¦1581428475864¦1581428475741¦1581428466534¦1581428475864¦1581428475864¦Ah, yea that could be a bit awkwards*awkward¦Vlad30,Iines;¦ ⁰A ²¹⁵h ²³², ⁶⁹  ²¹⁵y ⁸⁴e ⁶⁸a ⁵¹⁶  ¹²⁴⁶t ⁸⁵h ¹⁵a ¹¹⁶t ¹⁰⁰  ¹⁹⁹c ⁵⁴o ⁶⁸u ¹¹⁶l ⁶²d ⁸⁴  ³⁸b ¹⁹⁹e ¹⁰⁰  ¹¹⁵a ¹⁶³  ⁶b ¹⁶²i ¹¹⁶t ⁶⁸  ⁶⁸⁸a ¹³⁰w ¹³²k ²⁴¹w ¹⁴⁷a ¹⁵⁴r ¹⁶⁴d ³⁷²s ¹³⁶⁰* ³³²a ¹¹⁵w ¹³⁷k ³⁴⁶w ¹⁷⁰a ¹¹⁵r ²¹⁶d¦Ah, yea ▅that could be a bit awkwards▅*awkward¦
0¦SELF¦1581428478054¦1581428493521¦1581428493433¦1581428478054¦1581428493521¦1581428493521¦If this was up to them, I think they might have threwn the girl out¦Vlad30,Iines;¦ ⁰I ²⁵⁷f ¹⁷⁸  ¹¹¹t ¹³⁵h ²⁰⁴i ¹⁰⁰s ¹⁶⁹  ³⁶³w ¹⁸⁴a ¹⁵⁶s ⁷⁸  ²²⁶u ²¹⁶p ²³¹  ¹¹⁷t ¹⁵²o ²⁰⁰  ¹⁶³t ⁹⁹h ¹³⁸e ⁸⁸⁵m ⁷¹⁵, ¹⁸⁵  ²⁶³I ²¹⁵  ¹³⁸t ¹¹⁶h ²³¹i ²⁰⁵n ¹³⁷k ¹⁷⁸  ⁸⁵t ¹³¹h ¹²²e ¹⁶³y ²⁰⁰  ¹⁵³m ¹⁸⁴i ¹⁸⁵g ¹⁴⁷h ⁸⁵t ¹³¹  ¹⁸⁴h ¹⁰¹a ¹³⁰v ¹⁰¹e ¹¹⁵  ¹³⁸t ¹⁸⁸h ⁵⁰⁰r ⁵⁵⁴e ²³⁷w ¹⁸²n ⁵⁸⁴  ²⁸⁹t ²⁵³h ¹⁷⁸e ⁹⁸³  ²⁶⁹g ³⁴⁸i ²²²r ³⁴⁷l ⁶¹⁷  ²⁶⁹o ²¹⁵u ¹³²t¦If this was up to them, I think they might have threwn the girl out¦
0¦OTHER¦1581428502398¦1581428524890¦1581428524879¦1581428502398¦1581428524890¦1581428524890¦true and it doesnt really say that the gilr would be to too light in order to save the others if she was thrown out¦Vlad30,Iines;¦ ⁰t ¹⁶²r ¹²¹u ¹³¹e ¹¹⁶  ²⁵³⁵a ⁷⁹n ²¹d ¹¹⁶  ¹⁰⁰i ⁶²t ¹⁰⁰  ¹³⁸d ⁷⁸o ¹⁰⁰e ¹³⁷s ¹⁶²n ³²¹t ¹⁰⁰  ²³¹r ⁸⁵e ¹⁵a ¹¹⁶l ¹⁵³l ⁰y ⁹⁹  ³⁶³s ²⁵³a ⁸⁴y ¹⁸²  ¹¹⁸t ⁰h ¹⁴⁶a ¹⁰¹t ⁶⁸  ⁶⁸⁴t ⁷⁸h ¹⁰⁰e ⁶⁹  ¹³¹g ⁸⁴i ⁸⁵l ⁰r ¹⁰⁰²  ²¹⁶w ⁶⁸o ¹⁰⁰u ¹⁰⁰l ⁰d ¹³²  ¹³⁷b ¹³²e ¹⁰⁰  ¹¹⁸t ⁸⁴o ⁵³  ¹⁹³³t ⁰o ²⁰¹o ¹⁰⁴  ¹⁰⁰l ⁶⁶i ²⁶⁴g ¹¹⁶h ⁸⁴t ¹⁰⁰  ¹¹²³i ¹⁵³n ¹⁰¹  ¹³⁰¹o ⁸⁴r ¹¹⁶d ¹⁴⁷e ⁰r ¹¹⁶  ²³⁷t ¹⁰⁰o ⁶²  ²²²s ⁰a ²¹⁵v ⁸⁵e ⁷⁸  ⁶t ¹⁴⁷h ⁸⁵e ⁸⁴  ⁰o ¹⁴⁷t ¹³¹h ⁸⁵e ⁵³r ²⁴⁷s ⁴³⁷  ²⁰⁰i ⁶²f ⁸⁵  ²⁵³s ¹¹⁵h ³⁶³e ¹⁸⁴  ⁵⁰⁰w ¹⁸⁷a ¹⁸⁸s ¹⁰⁰  ⁶⁹t ¹⁴⁶h ⁸⁵r ¹¹⁵o ³⁰⁰w ⁴⁵⁸n ²⁰²  ¹⁷⁸o ¹⁰⁰u ⁶t¦true ▅▅and it doesnt really say that the gilr▅ would be to ▅too light ▅in ▅order to save the others if she was thrown out¦
0¦SELF¦1581428528608¦1581428550696¦1581428550682¦1581428528608¦1581428550696¦1581428550696¦Hmmm, so now we are supposed to consider what is more valuable". Music, or hard science...¦Vlad30,Iines;¦ ⁰H ²⁵³m ¹⁵⁴m ¹¹⁶m ⁸⁰¹, ¹⁴⁷  ¹³⁷s ¹³²o ²⁶⁸  ²⁷⁹n ³⁵⁴o ²³¹w ¹⁵⁴  ³⁰¹w ¹⁶²e ¹³⁹  ¹¹⁵a ¹¹⁶r ¹³²e ¹⁵⁴  ¹³²s ²⁶⁸u ²⁴⁸p ¹¹⁶p ¹³⁸o ¹³¹s ¹⁶⁹e ¹⁴⁷d ¹⁴²  ¹⁰¹t ¹¹⁶o ²¹⁶  ¹⁷⁰c ¹¹⁵o ²⁰⁵n ⁶³²s ¹⁷³i ¹⁶³d ¹⁴²e ¹⁶⁹r ¹³⁶  ⁴⁴⁸w ²²⁰h ¹⁰⁶a ¹¹⁶t ²⁰¹  ²⁰⁰i ¹¹⁶s ¹¹⁶  ¹⁸⁵m ¹⁶³o ¹⁰⁷r ¹⁴⁷e ¹³²  ¹⁸⁵v ⁸⁵a ⁵⁰²l ²¹⁵u ³³⁹a ²¹⁷b ²⁶³l ¹⁰⁰e ¹⁰⁵⁶" ¹⁷³⁵. ¹⁶⁹  ²¹⁶M ²¹⁷u ¹⁶⁹s ¹³⁵i ²⁸⁶c ³⁷⁰, ¹⁷⁸  ³⁴⁰o ¹⁷⁰r ⁷⁴²  ¹⁶⁸⁷h ¹³¹a ¹³²r ¹³⁸d ¹⁹⁴  ¹³⁷s ²¹⁶c ²³³i ²²²e ¹¹⁵n ²³²c ²⁰⁰e ²³¹. ¹⁶⁹. ¹³¹.¦Hmmm, so now we are supposed to consider what is more valuable▅"▅. Music, or ▅hard science...¦
0¦OTHER¦1581428551737¦1581428575670¦1581428575700¦1581428551737¦1581428575670¦1581428575670¦...I guess lbut i would just imagine that the doctor would sort of offer to be thrown out himself¦Vlad30,Iines;¦ ⁰. ¹⁷⁸. ¹⁶⁹. ¹⁴⁰⁷I ¹²⁰  ¹⁶⁹g ⁶⁹u ⁰e ²⁰¹s ¹³¹s ¹¹⁶  ²¹¹⁵l ⁶³²⁸b ⁷⁰u ¹¹⁵t ⁶⁹  ¹³²i ⁸⁴  ⁶²¹w ⁰o ¹¹⁶u ¹³²l ¹²²d ¹⁵  ⁸⁵³j ¹¹⁶u ⁶⁹s ⁵³t ¹⁰¹  ⁰i ²⁰¹m ⁰a ¹⁶²g ¹⁰⁰i ¹⁸⁵n ⁰e ¹⁵³  ²⁷⁹t ⁸⁵h ⁰a ¹³⁸t ⁰  ¹⁰⁰⁶t ¹⁰¹h ¹⁰⁰e ⁷⁸  ⁴⁵⁸d ⁸⁴o ¹³²c ¹⁸⁵t ¹⁰⁰o ¹¹⁵r ¹⁸⁵  ³⁴⁷w ¹⁰⁶o ⁰u ¹⁷⁸l ⁰d ¹³⁸  ²³²s ¹⁰⁰o ¹³²r ¹⁶⁹t ⁸⁴  ⁸⁹o ⁰f ¹⁴⁷  ¹⁸⁵o ¹⁰⁰f ¹¹⁶f ¹⁵⁴e ¹¹⁶r ²⁴⁶  ¹²¹⁷t ⁶⁹o ⁸⁴  ¹⁷⁰b ¹⁴⁷e ¹⁰¹  ¹⁵³t ⁷⁸h ¹³⁸r ¹⁰¹o ¹³¹w ¹⁵⁴n ⁷⁸  ¹⁰⁰o ¹⁰⁰u ⁶t ¹³²  ¹⁰⁰h ⁶³i ¹⁵³m ⁸⁴s ¹⁴⁸e ²⁶⁹l ⁰f¦...▅I guess ▅▅l▅▅▅but i would just imagine that ▅the doctor would sort of offer ▅to be thrown out himself¦
0¦SELF¦1581428577251¦1581428594900¦1581428594897¦1581428577251¦1581428594900¦1581428594900¦I think so too. i mean, he is not going to sacrifice a kid, right? ¦Vlad30,Iines;¦ ⁰I ²¹⁶  ¹³²t ¹¹⁶h ¹⁶⁹i ¹⁷⁰n ¹³¹k ¹⁷⁵  ¹⁷⁸s ¹⁰⁰o ¹⁸⁶  ¹⁷³t ¹¹⁶o ²⁷⁵⁵o ¹²³². ¹⁶⁹  ²³²i ²⁰¹  ¹⁸⁴m ¹¹⁶e ²⁶⁹a ¹³²n ¹⁸⁴, ⁴⁶⁴  ²⁰⁴h ⁸⁵e ¹⁶⁹  ²³²i ¹⁰⁰s ¹⁴²  ¹⁵⁰n ¹⁸⁴o ¹⁶²t ¹⁵³  ⁶⁸³g ²¹⁶o ²³⁵i ²⁰⁵n ³⁸⁶g ¹⁰⁰  ¹¹⁹t ¹⁰⁰o ¹⁸⁵  ¹²⁶s ¹⁷⁴a ¹¹⁶c ¹⁵⁴r ¹⁷⁸i ³⁵⁴f ⁸⁵i ¹¹⁰²c ⁸⁴e ¹⁴⁷  ¹⁶⁸a ¹⁸⁶  ⁴¹⁷k ²⁰¹i ³⁶²d ⁴³⁹, ¹⁶³  ¹⁷³r ¹³⁸i ²⁰³g ¹⁴⁷h ¹¹⁶t ⁴⁵⁸? ³⁴⁸ ¦I think so to▅▅o▅. i mean, he is not going to sacrifi▅ce a kid, right? ¦
0¦OTHER¦1581428596981¦1581428602254¦1581428602241¦1581428596981¦1581428602254¦1581428602254¦noe *nope id ont think so¦Vlad30,Iines;¦ ⁰n ⁷⁸o ²⁵⁵e ¹¹⁵  ⁷⁷¹* ³³³n ¹⁰⁰o ¹⁸⁴p ¹¹⁶e ⁴⁷⁰  ¹⁴⁷i ²⁵⁴d ⁸⁵  ⁸⁴¹o ⁰n ²⁰¹t ¹⁸⁵  ¹⁸⁵t ⁰h ¹³¹i ¹⁰⁰n ³³²k ¹⁷⁰  ¹¹⁶s ¹⁰⁴o¦noe *nope id ont think so¦
0¦SELF¦1581428607584¦1581428626398¦1581428626392¦1581428607584¦1581428626398¦1581428626398¦So, then we agree that Nick should be thrown out, unless he jumps himself?¦Vlad30,Iines;¦ ⁰S ³³⁹o ⁷⁶³, ²²⁰  ²²³t ¹¹⁷h ¹⁰⁰e ¹¹⁶n ¹⁶⁹  ¹⁶⁷w ¹⁵⁴e ¹⁴⁷  ²⁵⁴a ¹⁶³g ¹⁷⁴r ¹⁰⁰e ¹⁵⁷e ⁴⁷⁹  ³²³t ¹⁶²h ¹⁰¹a ¹³⁸t ²¹¹⁷  ¹⁷⁸²N ⁴²³i ²³²c ¹⁴⁷k ¹⁸⁵  ²⁰⁰s ¹³⁸h ²³²o ¹⁶²u ¹⁸⁵l ¹¹⁵d ¹²³  ¹³¹b ¹⁰¹e ¹³¹  ¹⁵³t ¹¹⁶h ¹⁴⁷r ⁵⁴²o ¹⁷²w ¹¹⁶n ²³²  ²²⁰o ¹⁶⁹u ¹⁶⁷t ⁶⁰², ¹³⁸  ²⁰⁵u ¹⁶³n ²²⁵l ¹¹⁵e ²⁵²s ¹⁴²s ¹⁰⁰  ¹⁷⁸h ¹²²e ¹⁴⁷  ⁴¹⁷j ¹⁵³u ²⁶⁹m ⁴¹⁶p ²⁰⁰s ¹⁶³  ²⁶⁹h ¹⁶⁹i ¹⁶³m ¹⁵³s ¹⁷⁰e ¹⁶²l ³⁸⁶f ³³¹?¦So, then we agree that▅▅ ▅Nick should be thrown out, unless he jumps himself?¦
0¦OTHER¦1581428627805¦1581428631900¦1581428631886¦1581428627805¦1581428631900¦1581428631900¦Yes! I think thats it¦Vlad30,Iines;¦ ⁰Y ²⁸⁸e ¹⁵⁴s ⁴³⁹! ¹⁶⁹  ¹²⁵⁸I ¹³²  ¹²²t ¹¹⁶h ⁸⁵i ¹³¹n ¹⁷⁰k ¹⁰⁰  ⁶²t ¹³⁸h ⁷⁸a ⁶t ²⁶³s ¹⁰⁰  ²⁰⁰i ⁸⁴t¦Yes! ▅I think thats it¦
0¦SELF¦1581428636986¦1581428648508¦1581428648490¦1581428636986¦1581428648508¦1581428648508¦Great. Agreed. i hope he forgives us..¦Vlad30,Iines;¦ ⁰G ³³²r ²⁰¹e ³³²a ²²²t ⁹⁰⁶. ¹⁷⁹  ³³¹A ³⁰²g ⁹⁹⁹r ¹¹¹e ¹⁴²e ⁴⁵³d ²³⁰. ¹⁸⁵  ²⁴⁷i ¹⁶⁹  ¹⁸⁵h ²⁰⁰o ²²⁸³p ¹²²e ²¹⁶  ²⁴⁷h ⁸⁵e ¹³²  ³²³f ¹³²o ¹⁰⁰r ²⁶⁹g ²³²i ²⁸⁵v ¹¹⁶e ¹⁶⁹s ⁷⁸  ²²⁷u ¹¹⁶s ⁴³². ²³².¦Great. Agreed. i ho▅▅pe he forgives us..¦
0¦OTHER¦1581428652049¦1581428682311¦1581428682305¦1581428652049¦1581428682311¦1581428682311¦Yes! and someone aelse (maybe the musical prodigy) will rever forget hwhat Dr. Rivers did and will cure everyones cancer in the futrure¦Vlad30,Iines;¦ ⁰Y ²³⁸e ¹⁸⁴s ⁴⁰²! ¹³¹  ²⁵⁴¹a ⁴⁶⁹n ¹³²d ¹³⁸  ¹²⁰³s ⁰o ¹⁴⁷m ⁰e ¹⁸⁵o ⁶⁹n ¹⁰⁰e ¹⁰⁰  ¹⁶³a ⁴⁴³e ¹⁶³l ⁶⁹s ¹¹⁵e ²⁵⁴  ⁶³⁵( ²³²m ⁸⁴a ¹³²y ⁸⁴b ¹³⁸e ⁷⁸  ⁶⁹t ¹⁶h ¹³⁸e ¹⁰¹  ²⁵¹m ¹⁵³u ⁸²s ⁹⁷i ¹⁰⁰c ⁶⁸a ¹¹⁶l ¹⁰⁰  ¹⁰⁰p ¹¹⁷r ¹⁰⁰o ¹⁰⁰d ¹⁰⁴i ⁷⁹⁷g ²⁸⁴y ³⁹⁰) ¹¹⁶  ²³⁹w ⁶²i ⁶⁹l ¹³²l ⁶⁹  ²⁶⁰⁷r ⁹⁵⁰e ¹³⁷v ¹¹⁶e ⁸⁵r ³¹  ¹⁸⁵f ⁸⁵o ⁶³r ¹⁵⁴g ¹⁰⁰e ⁸⁴t ³²  ⁵¹⁷h ⁴¹⁷w ¹⁵⁴h ⁶⁹a ⁶³t ¹¹⁵  ⁷⁰¹D ²⁵⁴r ¹¹⁵. ¹⁷⁰  ¹¹³⁴R ²³⁶i ⁶⁹v ¹⁵³e ⁶³r ¹⁵³s ¹³²  ²⁸⁵d ¹⁰⁰i ¹⁰⁰d ¹⁴⁷  ⁸⁴a ¹²³n ⁴⁷d ⁸⁴  ³⁰⁰w ¹¹⁶i ⁸⁴l ¹⁴⁸l ¹⁰³  ³³⁹c ⁷⁸u ¹³⁷r ⁵⁰⁵e ¹³⁶  ¹⁰⁶¹e ¹³¹v ¹¹⁶e ⁶⁹r ⁰y ¹³¹o ¹¹⁶n ⁰e ²¹⁷s ⁸⁴  ¹⁸⁵c ⁸⁵a ¹⁵n ¹⁸⁴c ⁸⁵e ³¹⁷r ²³²  ¹⁰⁰i ¹⁵³n ⁸⁵  ⁰t ¹⁴⁶h ⁰e ¹³²  ¹²²f ⁶²u ¹¹⁶t ¹⁶⁹r ⁵⁷u ¹⁴³³r ⁰e¦Yes! ▅▅and ▅someone aelse (maybe the musical prodigy) will ▅▅rever forget hwhat Dr. ▅Rivers did and will cure ▅everyones cancer in the futru▅re¦
0¦SELF¦1581428685248¦1581428705704¦1581428705693¦1581428685248¦1581428705704¦1581428705704¦Yes, that sounds likely. She skips the fiddle and starts doing medical research at age 10.¦Vlad30,Iines;¦ ⁰Y ⁵⁷¹e ²¹⁶s ⁶⁷⁵, ²⁰⁰  ²⁴⁸t ¹⁶⁹h ¹¹⁶a ¹¹⁵t ²⁰⁰  ¹⁰⁰s ¹²⁶o ¹⁶³u ²³²n ¹⁵³d ¹⁷⁴s ¹⁴⁷  ¹⁷³l ¹⁶⁸i ¹⁶³k ¹³¹e ¹²²l ²⁶³y ⁶⁹³. ²⁵⁴  ⁴⁵²S ³⁰⁰h ¹⁵⁴e ²⁶³  ⁸⁰²s ¹³⁸k ¹⁸⁴i ²³¹p ²⁰¹s ¹⁴⁷  ²⁰¹t ¹¹⁵h ¹²³e ¹⁶²  ²⁸⁶f ¹⁵³i ²¹⁵d ¹¹⁶d ¹³¹l ¹³⁷e ¹⁶³  ²²²a ²⁰⁰n ²¹⁶d ²⁸⁵  ³³²s ¹¹⁶t ¹³¹a ⁸⁵r ¹³⁸t ⁴¹⁷s ⁶⁸⁰  ⁴³⁸d ¹⁸⁵o ²⁰¹i ²³⁵n ⁵⁰¹g ¹⁵³  ¹¹⁶m ¹³¹e ¹⁶⁹d ¹³¹i ¹⁵⁴c ²¹⁶a ¹⁰¹l ¹⁶²  ¹¹⁶r ¹⁵⁴e ¹⁵³s ¹⁷⁹e ²⁶⁹a ²⁰⁴r ¹⁵³c ²³²h ⁷⁷⁵  ¹¹⁵a ¹⁸⁶t ³²⁰  ²⁴⁷a ²³¹g ¹⁰⁸e ¹¹⁶  ²¹⁵1 ¹⁰¹0 ⁶²¹.¦Yes, that sounds likely. She skips the fiddle and starts doing medical research at age 10.¦
0¦OTHER¦1581428709802¦1581428718881¦1581428718866¦1581428709802¦1581428718881¦1581428718881¦EhWhat a lovely end to this awful tradegy¦Vlad30,Iines;¦ ⁰E ¹⁴⁷h ¹⁶⁶²W ¹⁸⁴h ¹³²a ⁶⁹t ¹⁰⁰  ⁷⁸a ¹²⁶  ³⁰¹l ¹¹⁶o ⁶²v ⁸⁵e ²¹l ¹⁹⁴y ¹⁰⁰  ¹⁸⁵e ¹²²n ⁸¹d ¹¹⁵  ¹⁰⁰t ⁶⁹o ¹⁰⁰  ¹²⁶⁹t ¹⁰⁰h ⁰i ¹³¹s ⁸⁹  ¹²⁶⁸a ³⁵⁴w ²⁸⁶f ¹⁴⁷u ¹⁰⁰l ⁸⁴  ³⁷t ²⁶⁴r ⁶⁸a ²⁶³d ¹³⁸e ¹⁸⁵g ¹⁴⁷y¦Eh▅What a lovely end to ▅this ▅awful tradegy¦
0¦SELF¦1581428722106¦1581428738723¦1581428738711¦1581428722106¦1581428738723¦1581428738723¦Yes. I hope I will not encouneter sich*such dilemmas IRL¦Vlad30,Iines;¦ ⁰Y ²⁶⁹e ¹⁵⁸s ²⁰¹. ⁷⁰¹  ³³⁷I ¹⁸⁵  ²⁰⁴h ²⁰⁵o ⁵⁸⁹p ¹⁰⁰e ⁷³⁷  ⁷⁰⁹I ²⁰²  ¹¹⁴w ¹⁶³i ¹⁸⁵l ¹¹⁶l ¹⁸⁵  ¹³¹n ¹⁸⁵o ¹¹⁶t ¹⁷⁰  ⁴³¹e ¹³²n ²³²c ¹³⁸o ¹⁸⁵u ¹⁶²n ⁴⁰²e ⁵⁴⁰t ⁵⁰¹e ¹⁵¹r ³⁷⁴  ²⁸⁹s ²⁷⁸i ⁸⁴⁴c ⁶⁹⁰h ⁸⁹¹* ⁵⁶⁹s ²⁵⁴u ¹⁶³c ²³⁸h ¹⁸⁴  ²⁶³d ²⁰⁰i ⁵³⁹l ¹³¹e ¹¹⁶m ¹³¹m ⁶⁹a ¹⁵⁴s ¹³¹  ⁷⁴⁹I ²³⁸R ²⁸⁶L¦Yes. I hope I will not encouneter sich*such dilemmas IRL¦
