0¦OTHER¦1581427559385¦1581427559898¦1581427559838¦1581427559385¦1581427559898¦1581427559898¦hello¦Vlad31,Malin;¦ ⁰h ²²e ¹⁵⁸l ²²⁵l ¹⁰⁸o¦hello¦
0¦SELF¦1581428394791¦1581428395169¦1581428395137¦1581428394791¦1581428395169¦1581428395169¦thats¦Vlad31,Malin;¦ ⁰t ⁶⁴h ⁴⁷a ⁹⁰t ¹⁷⁷s¦thats¦
0¦OTHER¦1581428395178¦1581428395178¦1581428395186¦1581428395178¦1581428395178¦1581428395178¦A¦Vlad31,Malin;¦ ⁰A¦A¦
0¦SELF¦1581428395283¦1581428395381¦1581428395349¦1581428395283¦1581428395381¦1581428395381¦ t¦Vlad31,Malin;¦ ⁰  ⁹⁸t¦ t¦
0¦OTHER¦1581428395505¦1581428395505¦1581428395473¦1581428395505¦1581428395505¦1581428395505¦ ¦Vlad31,Malin;¦ ⁰ ¦ ¦
0¦SELF¦1581428395532¦1581428395717¦1581428395685¦1581428395532¦1581428395717¦1581428395717¦rue¦Vlad31,Malin;¦ ⁰r ⁸⁰u ¹⁰⁵e¦rue¦
0¦OTHER¦1581428395821¦1581428421242¦1581428421211¦1581428395821¦1581428421242¦1581428421242¦hysterical pregnant wife, upcoming mountains... fear. Better to trow the doctor out odf the ballon*oo¦Vlad31,Malin;¦ ⁰h ²²⁶y ¹⁶⁵s ⁸²t ²⁷⁶e ⁹²r ²⁰⁵i ²⁰⁴c ²⁰⁵a ¹²²l ²⁹³  ⁴¹⁴p ²⁰⁴r ¹³⁹e ²⁶⁷g ³⁰⁷n ⁹a ³⁰³n ³⁰⁵t ⁴⁰²  ³²⁰w ⁷⁵i ³²²f ³¹³e ¹⁵⁴⁰, ³⁰⁷  ¹¹²⁹u ¹⁰⁸p ⁴⁰⁵c ¹²⁸o ²⁷⁷m ⁹²i ²¹⁹n ⁹²g ¹²⁴  ¹⁸⁴m ²¹⁰o ¹⁵⁵u ²⁵⁰n ⁸⁶t ³¹⁸a ¹⁰⁸i ²⁰⁴n ⁷⁷s ⁴⁴⁵. ⁵. ¹⁹². ³¹³  ¹³⁸f ²⁶⁷e ¹⁶⁰a ²⁴⁵r ³⁰⁸. ²⁰¹  ⁵¹²B ³¹³e ⁵t ¹⁴⁹t ⁸⁴e ¹²⁹r ²⁵⁵  ²⁹⁶t ²⁰¹o ²¹³  ⁶¹⁷t ²⁰⁰r ⁷²⁴o ¹⁹⁹w ⁹²  ¹³⁹t ¹⁴⁰h ¹⁰⁸e ²³⁴  ²¹⁵d ¹²⁷o ¹²⁰c ²⁵⁴t ⁸²o ⁹⁷r ³³²  ²¹⁶o ²⁰¹u ¹⁰⁷t ¹³⁸  ²⁶⁴o ⁶d ²f ²⁰⁵  ¹⁰²⁸t ²h ¹¹⁷e ¹⁵³  ³²⁶b ⁵a ²⁰⁸l ¹¹⁴l ¹⁴⁸o ²⁷⁶n ²²¹⁷* ³⁰⁷o ⁷o¦hysterical pregnant wife▅, ▅upcoming mountains... fear. Better to trow the doctor out odf ▅the ballon▅▅*oo¦
0¦SELF¦1581428421474¦1581428421474¦1581428421442¦1581428421474¦1581428421474¦1581428421474¦y¦Vlad31,Malin;¦ ⁰y¦y¦
0¦OTHER¦1581428421478¦1581428421770¦1581428421738¦1581428421478¦1581428421770¦1581428421770¦n'¦Vlad31,Malin;¦ ⁰n ²⁹²'¦n'¦
0¦SELF¦1581428421892¦1581428424980¦1581428424949¦1581428421892¦1581428424980¦1581428424980¦eah ¦Vlad31,Malin;¦ ⁰e ⁷¹a ¹⁴²h ²⁸⁷⁵ ¦eah▅▅ ¦
0¦OTHER¦1581428442378¦1581428460311¦1581428460281¦1581428442378¦1581428460311¦1581428460311¦We didn't talk about the fact that the sloans ate friends with him though. ¦Vlad31,Malin;¦ ⁰W ¹²³e ⁸⁶⁰  ⁷⁶d ⁹⁴³i ¹⁵²d ¹⁵⁷n ⁴²⁰' ⁹¹⁰t ⁴²⁰  ²⁰⁰t ¹⁰⁸a ⁶¹⁶l ⁵⁹k ²³²  ⁷⁷a ¹⁴⁶b ¹⁸⁴o ²²⁰u ⁶¹t ¹²⁴  ¹¹¹t ⁹¹h ¹²³e ¹⁰⁷  ²⁹³f ⁵a ²¹⁵c ¹¹⁹t ¹³⁷  ¹⁰⁸t ⁹²h ¹³⁹a ¹²³t ⁷²⁴  ²⁹⁶t ⁵h ¹³⁷e ¹⁰⁸  ²⁰⁵s ³⁵³l ¹⁵⁴o ³⁶¹a ⁶n ³⁰³s ³⁰¹  ⁹⁸a ¹²⁵t ¹²⁸e ⁸⁷⁷  ⁴²⁴f ⁷⁷r ¹⁶⁹i ³⁶⁰e ⁶n ³⁰⁶d ⁹⁴s ³⁰⁸  ¹⁵⁹w ²⁴⁷i ¹⁰¹t ¹²³h ²⁸⁸  ¹²⁷h ²⁸⁴i ¹²⁸m ¹⁰⁰²  ¹³⁷t ¹⁰⁸h ²⁷⁶o ¹⁴³u ²⁶⁴g ¹⁶⁰h ⁵⁵⁶. ¹⁵⁴ ¦We didn't talk about the fact that the sloans ate friends with him▅ though. ¦
0¦SELF¦1581428466357¦1581428475714¦1581428475685¦1581428466357¦1581428475714¦1581428475714¦Ah, yea that could be a bit awkwards*awkward¦Vlad31,Malin;¦ ⁰A ²²²h ²²⁷, ⁷³  ²⁰⁸y ⁸¹e ⁷⁰a ⁵²²  ¹²⁵⁹t ⁷³h ⁶⁸a ⁷⁰t ¹⁰⁴  ²⁰²c ⁵²o ⁶⁹u ¹¹⁵l ⁵¹d ⁸³  ¹⁰²b ¹³⁶e ¹¹²  ¹⁰⁴a ¹⁶²  ⁶¹b ¹²⁰i ¹⁰⁴t ⁸³  ⁶⁸⁹a ¹²³w ¹³²k ²⁴²w ¹⁵²a ¹⁴⁸r ¹⁵⁸d ³⁶⁷s ¹³⁷⁰* ²⁸⁵a ¹⁶⁵w ¹⁴²k ³⁴⁵w ¹⁶⁴a ¹²²r ²²⁰d¦Ah, yea ▅that could be a bit awkwards▅*awkward¦
0¦OTHER¦1581428478071¦1581428493511¦1581428493482¦1581428478071¦1581428493511¦1581428493511¦If this was up to them, I think they might have threwn the girl out¦Vlad31,Malin;¦ ⁰I ³¹⁰f ⁷⁷  ¹²²t ¹²³h ²⁹²i ⁵s ¹⁹⁴  ⁴⁰⁸w ¹³⁶a ¹⁵⁴s ⁶³  ²⁶⁶u ²⁰⁰p ³¹⁵  ⁵t ¹⁹⁸o ²⁰⁰  ¹²⁴t ¹⁰⁷h ¹⁴⁴e ⁹⁷⁰m ⁷⁰³, ¹⁰⁸  ³⁰⁰I ²¹⁶  ¹⁰⁷t ¹²⁴h ²²⁹i ²⁰¹n ¹³⁷k ¹⁹⁰  ⁷⁶t ¹²³h ¹³⁹e ¹³⁸y ²⁶⁷  ⁹²m ²⁵¹i ¹²⁰g ¹⁵³h ⁹²t ¹³⁸  ¹⁸⁵h ⁹²a ¹²³v ¹⁰⁸e ¹⁰⁷  ¹⁴⁴t ¹⁷⁹h ⁵⁷³r ⁵²¹e ³⁰⁵w ⁸⁰n ⁶²⁷  ²⁶³t ³⁶⁶h ⁵⁷e ¹⁰⁶⁷  ²⁹⁵g ³¹²i ²⁰⁴r ³⁰⁹l ⁷¹¹  ²¹⁸o ²⁰⁰u ⁷⁷t¦If this was up to them, I think they might have threwn the▅ girl out¦
0¦SELF¦1581428502303¦1581428524892¦1581428524863¦1581428502303¦1581428524892¦1581428524892¦true and it doesnt really say that the gilr would be to too light in order to save the others if she was thrown out¦Vlad31,Malin;¦ ⁰t ¹⁷¹r ¹¹⁴u ¹³¹e ¹²²  ²⁵³⁶a ⁸¹n ⁸⁰d ⁶¹  ⁹⁷i ⁵⁸t ¹⁰¹  ¹³¹d ⁹¹o ⁹⁴e ¹⁴¹s ¹⁶²n ³¹⁶t ¹¹⁰  ²³⁵r ⁷³e ⁷¹a ⁷⁰l ¹⁵³l ¹⁹y ⁸¹  ³⁶⁴s ²²⁷a ¹¹³y ¹⁷⁰  ¹¹¹t ⁶³h ¹⁰²a ⁹⁰t ⁸¹  ⁶⁸⁰t ⁷⁷h ⁹⁷e ⁷⁶  ¹²⁶g ⁹²i ⁷⁴l ⁴⁹r ⁹⁶⁴  ²⁰⁷w ⁷²o ⁹⁸u ⁹⁹l ⁴⁶d ⁹⁴  ¹³⁷b ¹³²e ¹⁰⁵  ¹¹⁰t ⁸¹o ¹⁰⁵  ¹⁸⁸⁹t ⁵¹o ¹⁵⁰o ¹¹²  ⁹⁴l ⁶⁰i ²⁷⁴g ¹⁰⁸h ⁹⁴t ¹⁰¹  ¹¹²⁶i ¹⁴¹n ¹⁰⁴  ¹³¹²o ⁷¹r ¹²⁴d ¹⁴¹e ⁶⁰r ⁷²  ²³⁴t ⁹²o ⁶⁰  ²²²s ⁶¹a ¹⁰⁵v ¹⁴¹e ⁷³  ⁵⁸t ¹⁰⁵h ⁷⁹e ⁸⁸  ⁵⁴o ⁹⁰t ¹³⁰h ⁹⁰e ⁵³r ²⁴³s ⁴³⁷  ¹⁹²i ⁷¹f ⁹⁶  ²⁵³s ¹⁰⁴h ³⁶⁴e ¹⁸²  ⁵⁰⁹w ¹⁸⁶a ¹⁹¹s ¹⁰⁵  ⁵⁷t ¹⁵⁴h ⁸²r ¹²⁰o ²⁹⁶w ⁴⁴⁸n ²⁰³  ¹⁸¹o ¹¹⁴u ⁴¹t¦true ▅▅and it doesnt really say that the gilr would be to ▅too light ▅in ▅order to save the others if she was thrown out¦
0¦OTHER¦1581428528688¦1581428550763¦1581428550736¦1581428528688¦1581428550763¦1581428550763¦Hmmm, so now we are supposed to consider what is more valuable". Music, or hard science...¦Vlad31,Malin;¦ ⁰H ²⁶¹m ¹³⁹m ¹²⁴m ⁷⁹⁷, ¹⁵⁴  ¹²³s ¹³⁷o ²⁷⁸  ²⁷⁶n ³⁵⁷o ²⁸⁷w ⁹³  ³²²w ¹³⁹e ¹³⁸  ¹⁰⁸a ¹¹⁸r ¹⁵⁰e ¹⁴⁷  ¹⁰⁷s ³²⁴u ³⁰⁷p ³p ¹⁹¹o ¹¹¹s ¹⁵⁷e ¹⁵²d ¹⁴¹  ⁹¹t ¹³²o ¹⁹⁰  ²⁶²c ³o ³⁰⁵n ⁶¹⁷s ¹²⁰i ¹⁸⁴d ¹²⁹e ¹⁴⁹r ¹³⁸  ⁴⁴⁷w ²²⁹h ¹⁰⁹a ¹²³t ²¹⁵  ¹⁸⁴i ¹⁰⁸s ¹²²  ²⁰¹m ¹³⁸o ¹⁰⁷r ¹⁵⁵e ¹²³  ¹⁸⁵v ⁹²a ⁵²²l ²¹⁷u ³²¹a ²⁰²b ²⁶³l ¹⁰⁹e ¹¹⁴⁹" ¹⁷⁴⁴. ⁷⁶  ²¹⁹M ²¹⁴u ¹⁵²s ¹⁵⁸i ²⁹⁵c ³⁴⁶, ²²⁹  ³⁵⁹o ⁹⁵r ⁸²⁹  ¹⁶³¹h ¹⁰⁷a ¹²⁴r ¹³⁸d ²³⁸  ⁹³s ³¹⁸c ¹⁴²i ²⁸⁰e ⁸n ²⁹⁰c ²¹⁴e ³⁰⁸. ⁶⁵. ¹²¹.¦Hmmm, so now we are supposed to consider what is more valuable▅"▅. Music, or ▅hard science...¦
0¦SELF¦1581428551685¦1581428575678¦1581428575651¦1581428551685¦1581428575678¦1581428575678¦...I guess lbut i would just imagine that the doctor would sort of offer to be thrown out himself¦Vlad31,Malin;¦ ⁰. ¹⁹¹. ¹⁷². ¹⁴⁰²I ¹¹⁸  ¹⁶⁴g ⁷⁴u ⁴⁷e ¹⁶¹s ¹²⁵s ¹²¹  ²¹¹²l ⁶³³⁰b ⁷¹u ¹⁰⁵t ⁸⁷  ¹¹³i ⁹²  ⁶¹⁹w ⁵⁴o ⁶⁸u ¹²⁴l ⁷⁸d ⁹³  ⁸²³j ¹²⁰u ⁶⁴s ⁵⁹t ⁸²  ⁶¹i ¹⁴¹m ⁵⁰a ¹²⁹g ⁹⁷i ¹⁷⁹n ⁵³e ¹⁰¹  ²⁸⁵t ⁸³h ⁴⁰a ⁹⁰t ⁵⁷  ⁹⁴⁹t ¹⁰⁷h ⁹⁹e ⁷⁵  ⁴⁶²d ⁹¹o ¹²³c ¹⁸⁶t ⁹⁹o ¹²³r ¹⁷¹  ³⁵⁶w ⁹⁵o ⁵⁷u ¹²⁶l ⁵⁹d ⁹⁰  ²²³s ⁹⁸o ¹³⁷r ¹⁶²t ⁸¹  ⁹⁴o ⁶²f ⁹¹  ¹⁸¹o ¹⁰¹f ¹¹⁴f ¹⁴²e ¹²⁵r ²⁵¹  ¹²¹⁴t ⁷⁴o ⁸⁷  ¹⁶⁵b ¹⁴¹e ¹⁰⁵  ¹⁵³t ⁸⁸h ¹²³r ¹¹⁰o ¹²²w ¹³⁴n ¹¹¹  ¹⁰¹o ⁹⁶u ⁴⁵t ⁹⁵  ¹⁰²h ⁶¹i ¹⁴¹m ⁹¹s ⁷⁵e ³⁴¹l ⁵³f¦...▅I guess ▅▅l▅▅▅but i would just imagine that the doctor would sort of offer ▅to be thrown out himself¦
0¦OTHER¦1581428577401¦1581428595014¦1581428594988¦1581428577401¦1581428595014¦1581428595014¦I think so too. i mean, he is not going to sacrifice a kid, right? ¦Vlad31,Malin;¦ ⁰I ¹⁴⁰  ¹³⁹t ¹⁰⁷h ²²¹i ¹⁰⁸n ¹³⁹k ²⁶⁹  ⁷⁸s ¹⁰⁷o ²¹⁸  ¹⁵³t ¹⁰³o ²⁸²⁶o ¹²²⁴. ¹²⁷  ²⁸⁸i ¹³⁹  ¹⁸⁵m ¹⁰⁹e ²⁸²a ¹¹⁸n ²⁹⁷, ³⁹⁶  ¹⁵⁴h ⁹²e ²⁷⁸  ¹²³i ⁹¹s ¹³⁸  ¹⁵⁵n ²⁰⁰o ³³¹t ⁵  ⁶⁹⁴g ²⁰²o ³⁰²i ¹⁰⁶n ⁴⁰⁷g ⁶⁵  ¹²³t ¹⁰⁰o ²³⁴  ⁷⁶s ¹⁷¹a ¹²³c ²³⁴r ¹⁰⁸i ⁴⁰⁴f ⁶i ¹²²³c ⁶e ¹³¹  ¹⁶⁹a ²¹⁸  ³⁹⁷k ¹⁸⁵i ⁴³¹d ⁴¹⁵, ¹²³  ¹⁸⁴r ¹¹¹i ³⁰⁷g ⁹h ¹⁵⁹t ⁵³⁹? ³¹¹ ¦I think so to▅▅o▅. i mean, he is not going to sacrifi▅ce a kid, right? ¦
0¦SELF¦1581428596936¦1581428602207¦1581428602180¦1581428596936¦1581428602207¦1581428602207¦noe *nope id ont think so¦Vlad31,Malin;¦ ⁰n ⁷³o ²⁶⁵e ¹⁰⁴  ⁷⁸¹* ³²³n ¹⁰⁸o ¹⁸⁷p ¹¹⁶e ⁴⁶⁵  ¹⁵⁰i ²⁵⁷d ⁷⁰  ⁸⁴³o ⁴⁰n ¹⁶²t ¹⁸⁷  ¹⁷²t ⁷³h ⁸²i ⁹⁶n ³³⁶k ¹⁶¹  ¹¹⁵s ¹⁰⁵o¦noe *nope id ont think so¦
0¦OTHER¦1581428607668¦1581428626545¦1581428626520¦1581428607668¦1581428626545¦1581428626545¦So, then we agree that Nick should be thrown out, unless he jumps himself?¦Vlad31,Malin;¦ ⁰S ³⁵⁵o ⁸¹⁰, ¹⁷⁶  ²²⁹t ⁷⁸h ¹⁰⁸e ¹⁰⁷n ²²⁶  ¹⁰⁷w ¹⁹⁹e ¹¹⁰  ³⁰⁷a ¹²³g ¹⁶⁵r ⁹⁴e ¹⁷⁰e ⁵⁶⁸  ³⁰¹t ⁹²h ⁹⁰a ¹⁴²t ²¹³⁷  ¹⁷⁶³N ⁴⁸⁴i ¹⁷⁰c ¹³⁹k ²¹⁵  ¹⁷⁴s ¹³⁹h ²⁹⁰o ⁹²u ²¹⁵l ⁹²d ¹²³  ¹³⁸b ¹⁰⁸e ¹²²  ¹⁵⁹t ¹²³h ¹³⁵r ⁶⁵¹o ⁶²w ¹²³n ⁴⁰⁸  ⁷o ²¹⁸u ¹³⁸t ⁶⁷⁴, ⁷⁷  ²²⁹u ¹²³n ²⁹³l ⁶³e ³³⁷s ⁶⁸s ¹⁰⁰  ²⁴⁷h ⁶e ¹⁹⁴  ⁴¹⁹j ¹⁴⁰u ³⁷³m ⁴¹⁷p ¹⁰²s ¹⁹⁷  ²⁹⁵h ⁹³i ²³¹m ⁹²s ¹⁶⁹e ²⁴⁹l ²⁸⁹f ⁴¹⁸?¦So, then we agree that▅▅ ▅Nick should be thrown out, unless he jumps himself?¦
0¦SELF¦1581428627749¦1581428631859¦1581428631835¦1581428627749¦1581428631859¦1581428631859¦Yes! I think thats it¦Vlad31,Malin;¦ ⁰Y ²⁹⁷e ¹⁵²s ⁴³⁷! ¹⁷⁵  ¹²⁵³I ¹³⁸  ¹²⁴t ¹¹¹h ⁷²i ¹⁴¹n ¹⁷³k ¹⁰²  ⁶¹t ¹³¹h ⁸⁰a ⁶¹t ²¹⁵s ¹⁰¹  ²⁰³i ⁸³t¦Yes! ▅I think thats it¦
0¦OTHER¦1581428637088¦1581428648663¦1581428648639¦1581428637088¦1581428648663¦1581428648663¦Great. Agreed. i hope he forgives us..¦Vlad31,Malin;¦ ⁰G ³¹⁸r ²⁰⁵e ⁴⁰⁸a ¹¹⁸t ⁹¹¹. ²⁰¹  ⁴⁰⁴A ³¹¹g ⁸⁹¹r ¹⁰⁸e ¹⁴⁰e ⁴⁹⁵d ²⁰¹. ²¹⁴  ³⁰³i ⁹⁴  ³²¹h ⁶³o ²²⁸⁹p ⁹⁶e ³⁰⁸  ²¹⁶h ⁵e ²⁰⁰  ²⁹²f ¹²³o ¹⁰⁰r ²⁷⁸g ³²⁹i ¹⁹⁸v ⁹⁷e ²¹⁶s ¹  ³⁰¹u ⁷⁷s ⁴³⁸. ³⁰⁵.¦Great. Agreed. i ho▅▅pe he forgives us..¦
0¦SELF¦1581428652001¦1581428682308¦1581428682284¦1581428652001¦1581428682308¦1581428682308¦Yes! and someone aelse (maybe the musical prodigy) will rever forget hwhat Dr. Rivers did and will cure everyones cancer in the futrure¦Vlad31,Malin;¦ ⁰Y ²⁴¹e ¹⁶⁹s ⁴⁰²! ¹⁷²  ²⁵⁰⁹a ⁴⁷⁰n ¹³³d ¹⁴¹  ¹²⁰²s ⁵⁴o ⁹⁰m ⁵¹e ¹³¹o ⁷¹n ⁹¹e ¹⁰⁰  ¹⁷⁷a ⁴⁴⁷e ¹⁵³l ⁷⁰s ¹¹⁴e ²⁶²  ⁶²⁰( ²⁴⁵m ⁸²a ¹³¹y ⁸¹b ¹³²e ⁸⁶  ⁷¹t ⁶⁰h ⁹⁸e ⁸⁴  ²⁶³m ¹⁶⁰u ⁷¹s ¹⁰¹i ¹⁰⁵c ⁷²a ¹⁰⁴l ¹⁰⁸  ¹⁰⁴p ¹¹⁰r ⁹²o ⁹⁹d ¹¹⁴i ⁸⁰²g ²⁸³y ³⁷⁸) ¹²⁰  ²²⁶w ⁷³i ⁷³l ¹³⁶l ⁵⁹  ²⁶⁰⁷r ⁹⁵³e ¹⁴⁶v ¹⁰⁹e ⁸³r ⁹⁰  ¹²³f ⁹¹o ⁶¹r ¹⁶¹g ¹⁰¹e ⁸⁴t ⁷²  ⁴⁷⁷h ⁴⁰³w ¹⁶⁴h ⁷²a ⁶⁰t ¹¹²  ⁷⁰⁴D ²⁵⁶r ¹⁰⁷. ¹⁷⁶  ¹¹³⁶R ²³⁶i ⁷⁰v ¹⁴³e ⁶⁹r ¹⁵³s ¹³³  ²⁷⁵d ¹⁰⁹i ⁹¹d ¹⁵⁴  ⁸⁸a ¹⁰⁵n ⁶⁹d ⁷²  ³⁰⁶w ¹¹⁰i ⁹¹l ¹⁴⁵l ¹⁰¹  ³³⁷c ⁷⁵u ¹³⁷r ⁵⁰⁸e ¹³³  ¹⁰⁶⁵e ¹³⁴v ¹²²e ⁵⁹r ³⁴y ¹⁰²o ¹¹¹n ³⁰e ¹⁹²s ⁷⁵  ¹⁸⁸c ⁸³a ⁶⁹n ¹³³c ⁹¹e ³¹⁶r ²²⁹  ¹⁰⁸i ¹⁴²n ⁹²  ³⁴t ¹¹⁷h ⁴⁰e ⁸⁷  ¹¹⁶f ⁶⁷u ¹¹⁸t ¹⁷²r ⁵⁶u ¹⁴²⁴r ⁵⁰e¦Yes! ▅▅and ▅someone aelse (maybe the musical prodigy) will ▅▅rever forget hwhat Dr. ▅Rivers did and will cure ▅everyones cancer in the futru▅re¦
0¦OTHER¦1581428685425¦1581428705799¦1581428705776¦1581428685425¦1581428705799¦1581428705799¦Yes, that sounds likely. She skips the fiddle and starts doing medical research at age 10.¦Vlad31,Malin;¦ ⁰Y ⁴⁶⁵e ²⁴⁶s ⁷²⁸, ¹⁰⁷  ²⁹³t ⁹⁴²h ⁵a ²t ²  ¹s ¹o ⁵u ²⁶⁹n ¹¹⁴d ¹⁶⁹s ¹³⁹  ¹⁹³l ²⁰⁷i ¹⁰⁵k ¹⁴¹e ¹²³l ³⁶⁰y ⁶⁰⁶. ³⁰⁸  ⁴⁰²S ³¹³h ¹²²e ²⁹¹  ⁷⁸⁴s ¹³⁸k ²⁰⁰i ³¹³p ⁸⁹s ¹⁵⁵  ²⁶⁴t ⁶h ²⁰⁶e ¹²³  ³⁷⁸f ⁵⁹i ²⁵⁸d ⁷⁷d ¹²⁵l ¹³⁹e ²⁷⁵  ¹⁰⁹a ²⁹¹n ¹²⁵d ²⁸⁹  ³²⁴s ¹²³t ¹⁴¹a ⁷⁶r ¹³⁸t ⁴⁰⁵s ⁷³⁴  ⁴¹⁹d ¹⁵⁴o ²⁴⁵i ²¹⁶n ⁴⁹⁹g ¹³⁸  ¹⁰⁸m ¹³⁸e ²³⁴d ⁷⁵i ¹³⁷c ²³²a ⁷⁸l ¹⁶⁹  ¹²²r ²²³e ⁹⁰s ²⁰³e ³¹¹a ¹²²r ¹⁸⁶c ³¹²h ⁶⁶⁷  ¹²²a ¹⁸⁵t ³⁴⁷  ²¹⁴a ²⁹⁷g ⁶e ²⁰⁹  ¹⁵⁴1 ¹²⁴0 ⁶³⁵.¦Yes, that sounds likely. She skips the fiddle and starts doing medical research at age 10.¦
0¦SELF¦1581428709696¦1581428718836¦1581428718814¦1581428709696¦1581428718836¦1581428718836¦EhWhat a lovely end to this awful tradegy¦Vlad31,Malin;¦ ⁰E ¹⁹⁸h ¹⁶⁶¹W ¹⁷⁵h ¹⁴¹a ⁷¹t ⁹²  ⁸³a ¹³⁴  ²⁸⁵l ¹²⁹o ⁷²v ⁸⁰e ⁶³l ¹⁴⁹y ¹⁰⁴  ¹⁷³e ¹³²n ⁷⁰d ¹²⁴  ⁹⁴t ⁷¹o ¹⁰⁸  ¹²⁶⁵t ⁸⁵h ⁶⁷i ⁷¹s ¹⁰¹  ¹²⁵⁷a ³⁶⁴w ²⁸⁷f ¹⁴²u ¹⁰¹l ⁷⁷  ⁹⁷t ²¹⁴r ⁷⁰a ²⁵⁶d ¹⁴⁰e ¹⁸⁶g ¹⁵¹y¦Eh▅What a lovely end to ▅this ▅awful tradegy¦
0¦OTHER¦1581428722181¦1581428738789¦1581428738767¦1581428722181¦1581428738789¦1581428738789¦Yes. I hope I will not encouneter sich*such dilemmas IRL¦Vlad31,Malin;¦ ⁰Y ³¹⁵e ¹⁰⁷s ²⁹⁶. ⁶²¹  ⁴⁰²I ⁹²  ²¹⁵h ²⁰⁵o ⁶²⁶p ⁶²e ⁷⁴⁶  ⁷¹⁴I ²¹⁴  ⁹³w ¹⁵⁴i ²⁶³l ⁵l ³⁰⁶  ⁷n ³⁰⁰o ⁵t ¹⁹⁵  ⁵¹⁴e ⁶¹n ²⁵⁰c ¹²⁸o ²⁷⁸u ⁶²n ⁴⁴⁹e ⁵⁰⁶t ⁴⁹¹e ¹³⁹r ⁴⁰⁴  ³⁰⁰s ³⁰⁷i ⁸²³c ⁷¹⁷h ⁹¹⁶* ⁵¹⁹s ³⁰⁹u ⁷⁷c ³²⁴h ⁷⁷  ³⁴¹d ¹²³i ⁵³⁷l ¹²²e ¹³⁸m ¹²⁴m ⁷⁷a ¹⁵³s ¹²³  ⁷⁵⁴I ²⁴⁵R ²⁷⁷L¦Yes. I hope I will not encouneter sich*such dilemmas IRL¦
